number,point
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
2,"16,17"
1,18
1,19
1,20
1,21
1,22
2,"23,24"
2,"25,26"
2,"27,28"
2,"29,30"
1,16
1,17
3,"18,19,20"
4,"21,22,23,24"
2,"25,26"
1,27
1,28
1,29
1,30
3,"16,17,18"
2,"19,20"
2,"21,22"
1,23
1,24
1,25
2,"26,27"
1,28
1,29
1,30
4,"16,17,18,19"
1,20
1,21
1,22
2,"23,24"
1,25
2,"26,27"
1,28
1,29
1,30
1,16
2,"17,18"
1,19
1,20
1,21
4,"22,23,24,25"
1,26
1,27
1,28
1,29
2,"30,16"
2,"17,18"
3,"19,20,21"
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
2,"16,17"
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
2,"30,16"
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
3,"28,29,30"
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,16
3,"17,18,19"
2,"20,21"
3,"22,23,24"
1,25
1,26
1,27
1,28
1,29
1,30
1,16
1,17
1,18
1,19
1,20
1,21
2,"22,23"
1,24
1,25
6,"26,27,28,29,30,16"
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
2,"25,26"
1,27
1,28
1,29
3,"30,16,17"
1,18
1,19
2,"20,21"
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,16
1,17
2,"18,19"
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
2,"30,16"
1,17
1,18
2,"19,20"
1,21
2,"22,23"
1,24
4,"25,26,27,28"
2,"29,30"
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
15,"26,27,28,29,30,16,17,18,19,20,21,22,23,24,25"
2,"26,27"
1,28
1,29
1,30
2,"16,17"
1,18
1,19
1,20
1,21
2,"22,23"
2,"24,25"
2,"26,27"
1,28
1,29
2,"30,16"
2,"17,18"
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
2,"28,29"
1,30
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
2,"29,30"
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
3,"16,17,18"
2,"19,20"
5,"21,22,23,24,25"
1,26
1,27
1,28
3,"29,30,16"
1,17
2,"18,19"
1,20
1,21
1,22
1,23
1,24
2,"25,26"
1,27
1,28
1,29
1,30
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
2,"26,27"
1,28
1,29
1,30
1,16
2,"17,18"
2,"19,20"
1,21
1,22
1,23
2,"24,25"
3,"26,27,28"
1,29
1,30
1,16
1,17
1,18
1,19
1,20
2,"21,22"
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
2,"29,30"
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,16
1,17
1,18
7,"19,20,21,22,23,24,25"
1,26
1,27
1,28
1,29
1,30
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,16
1,17
1,18
1,19
1,20
1,21
2,"22,23"
1,24
1,25
1,26
1,27
1,28
1,29
1,30
3,"16,17,18"
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
2,"26,27"
1,28
1,29
2,"30,16"
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
2,"25,26"
2,"27,28"
1,29
1,30
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
2,"16,17"
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
3,"26,27,28"
3,"29,30,16"
1,17
1,18
3,"19,20,21"
1,22
1,23
1,24
1,25
1,26
1,27
3,"28,29,30"
3,"16,17,18"
1,19
1,20
